Car model;Link;Dollar Price;UAH Price;City;Type of Engine;Transmission;Drive Unit
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1802001.html;24 075 $;665 500 грн;Харьков;Бензин 1.5 л;Автомат;Полный привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845606.html;19 173 $;530 000 грн;Киев;Бензин 1.2 л;Вариатор;Передний привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1802000.html;22 585 $;624 300 грн;Харьков;Бензин 1.5 л;Механическая;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1836022.html;21 380 $;591 000 грн;Запорожье;Бензин 1.6 л;Автомат;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1841548.html;20 797 $;574 900 грн;Ивано-Франковск;Бензин 1.4 л;Автомат;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1831028.html;20 797 $;574 900 грн;Запорожье;Бензин 1.4 л;Автомат;Передний привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845220.html;15 881 $;439 000 грн;Ивано-Франковск;Бензин 1.2 л;Механическая;Передний привод
Suzuki GSX-S 2020;https://auto.ria.com/newauto/auto-suzuki-gsx-s-1836699.html;15 158 $;419 000 грн;Харьков;Бензин 1.0 л;Механическая;Цепной привод
Suzuki Burgman 2020;https://auto.ria.com/newauto/auto-suzuki-burgman-1836696.html;9 008 $;249 000 грн;Харьков;Бензин 0.4 л;Вариатор;Ременной привод
Suzuki GSX-R 2018;https://auto.ria.com/newauto/auto-suzuki-gsx-r-1817274.html;15 519 $;429 000 грн;Харьков;Бензин 1.0 л;Механическая;Цепной привод
Suzuki V-Strom 2019;https://auto.ria.com/newauto/auto-suzuki-v-strom-1815575.html;5 390 $;149 000 грн;Харьков;Бензин 0.2 л;Механическая;Цепной привод
Suzuki SV 2018;https://auto.ria.com/newauto/auto-suzuki-sv-1816637.html;7 488 $;207 000 грн;Харьков;Бензин 0.6 л;Секвентальная;Цепной привод
Suzuki SV 2019;https://auto.ria.com/newauto/auto-suzuki-sv-1815927.html;7 561 $;209 000 грн;Харьков;Бензин 0.6 л;Секвентальная;Цепной привод
Suzuki GSX-S 2020;https://auto.ria.com/newauto/auto-suzuki-gsx-s-1836698.html;10 636 $;294 000 грн;Харьков;Бензин 0.7 л;Механическая;Цепной привод
Suzuki GSX-S 2019;https://auto.ria.com/newauto/auto-suzuki-gsx-s-1815965.html;10 238 $;283 000 грн;Харьков;Бензин 0.7 л;Механическая;Цепной привод
Suzuki SV 2019;https://auto.ria.com/newauto/auto-suzuki-sv-1816638.html;7 995 $;221 000 грн;Харьков;Бензин 0.6 л;Секвентальная;Цепной привод
Suzuki V-Strom 2020;https://auto.ria.com/newauto/auto-suzuki-v-strom-1836697.html;10 780 $;298 000 грн;Харьков;Бензин 0.6 л;Механическая;Цепной привод
Suzuki V-Strom 2020;https://auto.ria.com/newauto/auto-suzuki-v-strom-1815562.html;10 310 $;285 000 грн;Харьков;Бензин 0.6 л;Механическая;Цепной привод
Suzuki GSX 2019;https://auto.ria.com/newauto/auto-suzuki-gsx-1835981.html;5 133 $;141 900 грн;Харьков;Бензин 0.2 л;Механическая;Цепной привод
Suzuki Katana 2019;https://auto.ria.com/newauto/auto-suzuki-katana-1815561.html;13 349 $;369 000 грн;Харьков;Бензин 1.0 л;Секвентальная;Цепной привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1800150.html;22 585 $;624 300 грн;Одесса;Бензин 1.5 л;Механическая;Полный привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845250.html;15 881 $;439 000 грн;Запорожье;Бензин 1.2 л;Механическая;Передний привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845252.html;19 173 $;530 000 грн;Запорожье;Бензин 1.2 л;Вариатор;Передний привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845361.html;15 881 $;439 000 грн;Харьков;Бензин 1.2 л;Механическая;Передний привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845251.html;17 328 $;479 000 грн;Запорожье;Бензин 1.2 л;Вариатор;Передний привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1831970.html;22 585 $;624 300 грн;Хмельницкий;Бензин 1.5 л;Механическая;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1800149.html;20 609 $;569 700 грн;Одесса;Бензин 1.5 л;Механическая;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1800151.html;24 075 $;665 500 грн;Одесса;Бензин 1.5 л;Автомат;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1845097.html;20 609 $;569 700 грн;Киев;Бензин 1.5 л;Механическая;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1845098.html;24 075 $;665 500 грн;Киев;Бензин 1.5 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1821978.html;17 708 $;489 500 грн;Винница;Бензин 1.6 л;Механическая;Передний привод
Suzuki DT 2018;https://auto.ria.com/newauto/auto-suzuki-dt-1690752.html;1 799 $;49 729 грн;Днепр (Днепропетровск);Бензин;0.3;л привод
